file,Rinf,Ro,Rh,Qh,Ch,Ph,Fh,pRh,pQh,pCh,Rm,Qm,Cm,Pm,Fm,pRm,pQm,pCm,Rl,Ql,Cl,Pl,Fl,pRl,pQl,pCl,Re,Qe,Pe-f,Pe-i,Res.1Hz,mismatch,m0,mx,mt,Vp,V(.1ms),V(1ms),V(10),V(100),V(200),V(400),V(800),V(1.2s),V(1.6s),model,comment,Linf,Fhigh,Flow,date/time
file,Rinf,Ro,Rh,Qh,Ch,Ph,Fh,pRh,pQh,pCh,Rm,Qm,Cm,Pm,Fm,pRm,pQm,pCm,Rl,Ql,Cl,Pl,Fl,pRl,pQl,pCl,Re,Qe,Pe-f,Pe-i,Res.1Hz,mismatch,m0,mx,mt,Vp,V(.1ms),V(1ms),V(10),V(100),V(200),V(400),V(800),V(1.2s),V(1.6s),model,comment,Linf,Fhigh,Flow,date/time
file,Rinf,Ro,Rh,Qh,Ch,Ph,Fh,pRh,pQh,pCh,Rm,Qm,Cm,Pm,Fm,pRm,pQm,pCm,Rl,Ql,Cl,Pl,Fl,pRl,pQl,pCl,Re,Qe,Pe-f,Pe-i,Res.1Hz,mismatch,m0,mx,mt,Vp,V(.1ms),V(1ms),V(10),V(100),V(200),V(400),V(800),V(1.2s),V(1.6s),model,comment,Linf,Fhigh,Flow,date/time
BC29062-2024-11-07.z,1.38E+03,2.92E+05,2.84E+05,3.25E-11,3.76E-12,8.43E-01,1.49E+05,1.38E+03,3.22E-11,3.73E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,8.16E+10,1.55E-11,1.95E-11,5.95E+03,2.65E-05,5.62E-07,3.24E-01,4.76E+01,1.40E+07,1.10E-08,2.34E-10,1.00E+10,2.10E-05,4.06E-01,-2.01E+00,2.91E+05,1.21E+12,1.04E-02,5.86E-01,2.05E+00,2.96E+05,1.58E+05,3.07E+03,1.82E+03,8.58E+02,6.35E+02,4.36E+02,2.50E+02,1.42E+02,6.34E+01,p3Zarc,C,1.00E-09,1.59E+05,1.00E-01,2024-11-19/12:15:31
BC29064-2024-11-07.z,4.25E+03,5.38E+05,4.26E+05,4.93E-10,6.53E-12,6.62E-01,5.72E+04,4.30E+03,4.83E-10,6.40E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,1.85E+11,6.82E-12,8.60E-12,1.08E+05,2.48E-06,9.62E-08,2.89E-01,1.53E+01,2.15E+06,9.96E-08,3.87E-09,1.00E+10,6.42E-04,5.27E-01,-1.99E+00,5.19E+05,5.35E+11,1.13E-01,8.39E+00,2.63E+01,5.41E+05,3.38E+05,6.14E+04,3.89E+04,2.05E+04,1.57E+04,1.11E+04,6.58E+03,3.80E+03,1.72E+03,p3Zarc,C,1.00E-09,6.31E+04,1.00E-01,2024-11-19/12:16:17
BC29066-2024-11-07.z,1.25E+03,4.06E+05,4.70E+04,3.00E-11,5.88E-12,8.92E-01,5.76E+05,1.28E+03,2.84E-11,5.58E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,2.33E+09,5.43E-10,6.85E-10,3.58E+05,4.80E-08,1.23E-10,4.05E-01,3.61E+03,5.47E+04,3.73E-08,9.56E-11,1.00E+10,1.53E-04,7.05E-01,8.79E-02,4.02E+05,1.66E+10,1.48E-01,3.25E+00,1.23E+01,4.16E+05,2.97E+05,6.15E+04,2.35E+04,8.12E+03,5.57E+03,3.57E+03,1.93E+03,1.06E+03,4.63E+02,p3Zarc,C,1.00E-09,1.59E+05,1.00E-01,2024-11-19/12:17:33
BC29067-2024-11-07.z,2.33E+02,1.58E+05,7.73E+04,2.64E-10,8.61E-12,7.59E-01,2.39E+05,2.33E+02,2.62E-10,8.56E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,6.02E+09,2.10E-10,2.65E-10,8.05E+04,3.21E-06,2.89E-09,1.62E-01,6.85E+02,1.52E+05,8.34E-07,7.49E-10,1.00E+10,1.21E-04,3.19E-01,3.01E-01,1.43E+05,1.23E+01,1.53E-01,1.48E+01,4.39E+01,1.49E+05,9.52E+04,2.29E+04,1.53E+04,8.86E+03,7.05E+03,5.21E+03,3.22E+03,1.91E+03,8.78E+02,p3Zarc,C,1.00E-09,1.59E+05,1.00E-01,2024-11-19/12:19:36
BC29071-2024-11-07.z,1.62E+02,1.93E+04,1.60E+04,6.37E-12,1.17E-11,1.04E+00,8.54E+05,1.63E+02,6.24E-12,1.14E-11,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,2.61E+08,4.84E-09,6.11E-09,3.11E+03,4.04E-06,8.32E-09,4.14E-01,6.15E+03,9.99E+04,1.06E-07,2.17E-10,1.00E+10,1.14E-03,1.92E-01,-2.09E+00,1.92E+04,4.08E+01,2.17E-02,4.54E-01,1.84E+00,1.94E+04,1.07E+04,4.20E+02,1.57E+02,5.33E+01,3.64E+01,2.33E+01,1.25E+01,6.87E+00,3.00E+00,p3Zarc,A,1.00E-09,6.31E+05,2.51E-02,2024-11-19/12:22:36
BC29072-2024-11-07.z,6.41E+03,4.83E+05,4.17E+05,4.91E-09,2.77E-11,5.45E-01,1.38E+04,6.50E+03,4.77E-09,2.69E-11,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,1.79E+11,7.05E-12,8.89E-12,6.01E+04,6.07E-06,8.72E-07,3.42E-01,3.04E+00,3.40E+06,9.38E-08,1.35E-08,1.00E+10,1.34E-04,4.91E-01,1.02E-01,4.69E+05,2.77E+00,1.23E-01,7.50E+00,2.40E+01,4.91E+05,3.33E+05,6.06E+04,3.42E+04,1.74E+04,1.31E+04,9.16E+03,5.33E+03,3.05E+03,1.37E+03,p3Zarc,C,1.00E-09,1.00E+04,3.98E-02,2024-11-19/12:23:42
BC29074-2024-11-07.z,1.72E+02,6.05E+04,5.21E+04,5.14E-11,8.10E-12,8.74E-01,3.77E+05,1.73E+02,5.11E-11,8.04E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,2.73E+09,4.62E-10,5.82E-10,8.17E+03,2.17E-05,2.94E-07,2.87E-01,6.63E+01,3.87E+05,3.96E-07,5.37E-09,1.00E+10,5.74E-03,5.18E-01,1.22E-01,5.94E+04,1.01E+01,6.19E-02,4.09E+00,1.31E+01,6.03E+04,3.41E+04,3.74E+03,2.30E+03,1.15E+03,8.71E+02,6.10E+02,3.57E+02,2.05E+02,9.22E+01,p3Zarc,B,1.00E-09,3.98E+05,1.00E-01,2024-11-19/12:24:42
BC29076-2024-11-07.z,2.82E+02,8.83E+04,7.08E+04,1.08E-10,9.33E-12,8.28E-01,2.41E+05,2.83E+02,1.07E-10,9.25E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,5.05E+09,2.50E-10,3.15E-10,1.73E+04,5.61E-06,2.48E-08,3.01E-01,3.71E+02,3.64E+05,2.14E-07,9.48E-10,1.00E+10,2.11E-03,4.91E-01,1.63E-01,8.71E+04,5.54E+00,7.03E-02,3.55E+00,1.18E+01,8.88E+04,5.16E+04,6.24E+03,3.41E+03,1.56E+03,1.15E+03,7.91E+02,4.54E+02,2.59E+02,1.16E+02,p3Zarc,B,1.00E-09,2.51E+05,6.31E-02,2024-11-19/12:25:40
BC29080-2024-11-07.z,3.92E+02,1.27E+05,1.17E+05,3.28E-11,4.36E-12,8.61E-01,3.14E+05,3.93E+02,3.26E-11,4.33E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,1.37E+10,9.23E-11,1.17E-10,1.04E+04,1.78E-05,2.42E-07,2.82E-01,6.33E+01,1.43E+06,1.19E-07,1.62E-09,1.00E+10,3.43E-04,4.84E-01,-2.06E+00,1.26E+05,4.25E+01,3.72E-02,2.53E+00,8.11E+00,1.28E+05,7.01E+04,4.74E+03,2.95E+03,1.49E+03,1.13E+03,7.95E+02,4.67E+02,2.69E+02,1.21E+02,p3Zarc,B,1.00E-09,3.98E+05,1.00E-01,2024-11-19/12:26:33
BC29082-2024-11-07.z,4.95E+02,1.43E+06,1.21E+06,4.08E-10,6.70E-12,6.50E-01,1.97E+04,4.96E+02,4.08E-10,6.69E-12,1.00E+00,1.26E+00,1.59E+00,5.00E-01,1.00E-01,1.46E+12,8.64E-13,1.09E-12,2.23E+05,1.59E-06,1.55E-07,3.08E-01,4.60E+00,7.75E+06,3.87E-08,3.77E-09,1.00E+10,3.69E-04,5.75E-01,1.91E-03,1.38E+06,1.52E+01,1.09E-01,8.26E+00,2.57E+01,1.46E+06,9.48E+05,1.58E+05,9.94E+04,5.37E+04,4.14E+04,2.94E+04,1.74E+04,1.01E+04,4.55E+03,p3Zarc,C,1.00E-09,2.51E+04,1.00E-01,2024-11-19/12:27:15
