file,Rinf,R0,Rh,Qh,Ch,Ph,Fh,pRh,pQh,pCh,Rm,Qm,Cm,Pm,Fm,pRm,pQm,pCm,Rl,Ql,Cl,Pl,Fl,pRl,pQl,pCl,Re,Qe,Pef,Pei,Res.1Hz,mismatch,m0,mx,mt,Vp,V(.1ms),V(1ms),V(10),V(100),V(200),V(400),V(800),V(1.2s),V(1.6s),model,comment,Linf,Fhigh,Flow,date/time
BC25415 - 2023-11-24.z,0.010000023025877438,1747233.3294588304,110801.08164122116,4.756750908455674e-12,4.7566821454619085e-12,0.999999,301975.70231956174,0.010000023928399859,4.756750049842896e-12,5.2704426560807085e-05,0.1,0.09618538016066251,0.0009251627356651171,0.5,1720.2913277465268,122768929890.00557,7.834660890003941e-14,7.535805162544088e-16,1636432.1378175863,7.32068455204467e-09,4.919705789223362e-11,0.469339,1976.8922552324614,118303.43006922613,6.421638925421812e-09,6.805182789189947e-10,100000000.0,1.1282517089147167e-07,0.573027,0.564962,9188941.144695971,606660941.488371,0.050277054099774336,2.2190766736382237,9.452195064807073,,563817.5553075343,117479.73618333647,93229.71731107729,28476.679394850507,18834.841613018187,11622.61520669167,6054.692622205941,3271.6313114229124,1409.3192944054026,Parallel Circuit,default,1.0001888298037307e-10,1000000.0,158.4893,2025-04-04 12:54:49
BC25416 - 2023-11-23.z,0.010000023025877438,25645.997229915534,3949.071527861875,4.57745279707093e-11,4.577381727755954e-11,0.999999,880456.6946269788,0.010000048348401938,4.577429614680244e-11,1.807632045711553e-05,0.1,0.09618538016066251,0.0009251627356651171,0.5,1720.2913277465268,155956398.22034532,6.167297121544322e-11,5.932188395105068e-13,21696.81570203063,6.649022582900995e-06,3.227551134995167e-08,0.266535,227.2746512404822,4667.998286729733,4.7589443463705956e-06,1.5001629787214269e-07,100000000.0,2.5714021340709464e-05,0.469232,0.482892,58445.6580582843,302443.16068122955,0.1898096935260439,20.206813630226296,64.45242769308484,,11140.217063397009,6184.72280014896,4877.478974182755,2454.245691978791,1859.2070436276008,1304.9680207797064,766.6555994191222,442.4361681312621,199.30472638324864,Parallel Circuit,default,1.0000023025877422e-10,1000000.0,25.11886,2025-04-04 12:55:12
BC25417 - 2023-11-23.z,35.28945895761546,25739.82955091258,0.18633481219733544,0.29617822846904723,0.04035497955713737,0.592404,21.16552278762269,6718.667078177575,8.171031561671312e-06,1.1192007952634205e-06,0.1,0.09618538016066251,0.0009251627356651171,0.5,1720.2913277465268,12620.795229752697,7.599759834939817e-07,7.330463087493145e-09,25704.253757142764,8.514161472032691e-07,6.038765033086324e-09,0.435766,1025.3378747808367,35.62503219993064,8.490642378420053e-07,4.357103396260614e-06,100000000.0,0.00017500924853111857,0.318661,1.562578,17449.897149090793,2195965.523659428,0.17717230024355887,8.55382329487176,33.96858511886813,,14110.047003879246,8758.801413506651,4612.075568145319,1507.1919338111911,1004.5104101146862,623.2912492869655,326.0863134970241,176.5744671301909,76.16889081826957,Parallel Circuit,default,0.0003601836543290732,100000.0,0.0631,2025-04-04 12:56:48
BC25418- 2023-11-29 .z,-38093.59849186853,104614.83339447074,118722.76429563083,9.283532610937822e-11,1.9563255711968116e-12,0.747322,685243.6188849566,-25870.818347984263,2.01278290015831e-10,-8.977697440823749e-12,0.1,0.09618538016066251,0.0009251627356651171,0.5,1720.2913277465268,65010704411.27172,1.47952959037006e-13,1.423092926070049e-15,23985.56759070844,2.532255363623816e-06,1.2793993673927184e-08,0.346293,518.6376013160054,351670.5275737005,1.3311315106024154e-07,8.726099458441678e-10,100000000.0,0.000865762957165199,0.282816,-0.030617,104898.59569878422,2297432.5183473825,0.03401505885261925,2.552580824381772,9.275748542267396,,22457.813588241144,-3296.126858096657,3876.7446779796883,1609.9106761823932,1154.06096956486,768.1789082094765,429.3402816736052,241.07883767291787,106.59451732921298,Parallel Circuit,default,0.0012402150579871843,1000000.0,0.01585,2025-04-04 12:58:05
BC25419 - 2023-11-23.z,-43629.37583670228,80163.05044400008,105957.08454765394,4.2569273209931555e-10,1.723332711400237e-12,0.644917,871607.5830810079,-25664.34363497049,1.230251525273063e-09,-7.114902777282056e-12,0.1,0.09618538016066251,0.0009251627356651171,0.5,1720.2913277465268,38847495059.2811,2.4759698326007943e-13,2.3815248171170964e-15,17835.24173304842,1.5180005324727032e-05,1.366894926811621e-07,0.217165,65.28388633985212,280141.2702190505,7.514177570150721e-07,8.702359857332063e-09,100000000.0,0.0007837941180326099,0.738922,0.024772,78550.7230017158,1522005.9280084209,0.05398899614133686,7.149433918153197,22.07728589537087,,17448.95515020765,-1252.0339844955888,4653.034421018558,2632.1251567301224,2066.5329431645805,1502.4408331357845,912.9504920872278,536.8328492902365,244.95177949800564,Parallel Circuit,default,0.001312166663468916,1000000.0,0.01585,2025-04-04 12:58:20
BC25421 - 2023-11-23.z,-30465.96929170263,75382.43713821331,71999.91769862994,1.6968088341305411e-10,2.1662278331532205e-12,0.721766,1020431.8371514963,-17574.631154789324,5.099064181255224e-10,-8.874622990935994e-12,0.1,0.09618538016066251,0.0009251627356651171,0.5,1720.2913277465268,17250730236.641407,5.575714607974105e-13,5.3630352047360035e-15,33848.388731285995,2.993419261642009e-05,3.1679048706754924e-05,0.188239,0.14842600560218977,92498.8724865591,6.0353602810367156e-06,1.1592408928221216e-05,100000000.0,0.00045341825374370023,0.35288,-0.999999,59100.37470657936,4639077.417495013,0.1545341738105962,28.272138421883696,80.77463627898017,,21100.23401795538,7870.503434358485,10636.19912799869,7126.5648627043265,5899.501798692589,4520.632276450713,2889.8153451726103,1748.0201564911113,813.2338119614724,Parallel Circuit,default,0.0010367833162835392,1000000.0,1.0,2025-04-04 13:02:16
BC25422 - 2023-11-23.z,-55704.848830837844,2274021.686538202,822477.4506405925,4.361631626143796e-11,1.4746098537144365e-11,0.9042,13122.573078615918,-51932.06432367636,5.018383083197763e-11,-2.3354229587588407e-10,0.1,0.09618538016066251,0.0009251627356651171,0.5,1720.2913277465268,5879402995633.606,1.6359716741293507e-15,1.5735657793013983e-17,1507248.9847284476,1.185194301704453e-08,1.4644047592245327e-10,0.478105,721.064309780496,1156847.853425502,5.206793459039182e-09,1.907962728233409e-10,100000000.0,1.9852033527831772e-07,0.317182,0.178802,7591160.532110513,11242631387.83727,0.05416565435261009,2.3377554667554072,9.990742017849977,,735067.0717887045,165279.24773493176,130435.51900063781,39438.0325026433,25971.154972105287,15955.409604564775,8275.970490545034,4461.057192462962,1918.4834173219278,Parallel Circuit,default,0.0008362458971227308,1000000.0,1.0,2025-04-04 13:04:18
BC25423 - 2023-11-23.z,-61956.80301897031,6835339.117377992,2622533.231049469,6.784722090073521e-11,7.213999894679591e-12,0.793916,8412.459763079165,-60493.08641287211,7.117026400064137e-11,-3.12745729709683e-10,0.1,0.09618538016066251,0.0009251627356651171,0.5,1720.2913277465268,65565518998430.71,1.4670115919706095e-16,1.4110507318446766e-18,4274762.589347493,3.100569184514977e-08,2.0444906636109638e-10,0.286953,182.10547372018638,4094358.116799743,1.2126774302769997e-08,2.134574444578767e-10,100000000.0,4.590341539919158e-07,0.315981,0.268191,8682949.097673977,8629816220.899136,0.13980396159908975,13.972917098651884,45.38403966441102,,2533224.970149819,1099699.311125814,988443.3946342217,481733.26728896424,361063.2829137761,250711.0444783466,145743.06649217382,83608.80814184714,37508.861996649764,Parallel Circuit,default,0.006137747244497802,1000000.0,1.58489,2025-04-04 13:06:28
BC25423 - 2023-11-23.z,-61956.80301897031,6835339.117377992,2622533.231049469,6.784722090073521e-11,7.213999894679591e-12,0.793916,8412.459763079165,-60493.08641287211,7.117026400064137e-11,-3.12745729709683e-10,0.1,0.09618538016066251,0.0009251627356651171,0.5,1720.2913277465268,65565518998430.71,1.4670115919706095e-16,1.4110507318446766e-18,4274762.589347493,3.100569184514977e-08,2.0444906636109638e-10,0.286953,182.10547372018638,4094358.116799743,1.2126774302769997e-08,2.134574444578767e-10,100000000.0,4.590341539919158e-07,0.315981,0.268191,8682949.097673977,8629816220.899136,0.13980396159908975,13.972917098651884,45.38403966441102,,2533224.970149819,1099699.311125814,988443.3946342217,481733.26728896424,361063.2829137761,250711.0444783466,145743.06649217382,83608.80814184714,37508.861996649764,Parallel Circuit,default,0.006137747244497802,1000000.0,1.58489,2025-04-04 13:06:47
BC25424 - 2023-11-24.z,-34472.676193440035,126516718.00250408,100000000.0,7.791598142427888e-11,1.6701755883100422e-11,0.759162,95.29234183870174,-34460.79253940065,7.796972866280773e-11,-4.8465965673901766e-08,0.1,1.3643995447301174,0.1861586117659752,0.5,8.549426834573365,9.993106663123266e+16,1.3653407187178116e-18,1.8628702568835868e-19,26551190.57869754,1.436735425603045e-09,1.2966272115422264e-10,0.575916,46.22969199885677,476336848.4574273,6.327744948140405e-11,7.227447617095225e-12,100000000.0,1.0000023025877443e-08,0.599664,1.248039,197109680.7519184,133764858509498.84,0.04833493204425965,1.4676950877153172,7.214300862507848,,33415734.307519555,3108105.0364850163,6537106.080955893,1652543.5010625422,1020780.3494009376,590115.7568047643,289336.5772525668,151266.4942947328,63720.075835853815,Parallel Circuit,default,0.005691359249849536,1000000.0,6.30957,2025-04-04 13:09:11
